Title,Alternative Title,Description,Display Note,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Language,B1G Language,Local Collection,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Bounding Box,Geometry,Centroid,GeoNames,Coordinate Reference System,Spatial Resolution in Meters,Spatial Resolution as Text,Georeferenced,Provenance,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Created At,Updated At,Date Accessioned,Date Retired,Format,File Size,B1G Image,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Relation,Rights,License,Rights Holder,Access Rights,Suppressed Record,Deprioritized,Mediator,Access,ID,Identifier,WxS Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Review Date,Review Status,Website Title,Website Creator,Website Publisher,Website Provider,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website Member Of,Website Is Part Of,Website ID,Website Identifier,Website Code,Website Harvest Workflow,Effective Harvest Workflow,Website Match Count,Website Name
Harvest record for Urban Base Layers - Minneapolis,,Curated datasets from the city of Minneapolis,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2011-01-01 / acquisition / purchase by UMN Libraries|2025-12-18 / ingest / 12 datasets,draft,,,,,2011-01-01,Mediated deposit,Annual,curation_datasets,2026-04-03 07:06:52 -0500,2026-04-15 18:02:16 -0500,,,,,,,,,,,,,,,,Public,,,,,b1g_27_43000,,,b1g_27_43000,,,2012-01-01,Due,-5228,,No Review,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for SimplyAnalytics,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2020-11-18 / harvest,draft,,,,,2020-11-18,Manual curation,Annual,template_children,2026-03-28 16:05:10 -0500,2026-04-15 18:02:11 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0004,999-0004,,999-0004,,,2021-11-18,Due,-1619,,No Review,SimplyAnalytics,"Geographic Research, Inc.",,,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",999-licensed-resources,,999-0004,,999-0004,,template_children,1,
Harvest record for PolicyMap,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Annual,template_children,2026-03-28 16:05:04 -0500,2026-04-15 18:02:08 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0003,999-0003,,999-0003,,,2022-04-27,Due,-1459,,No Review,PolicyMap,PolicyMap,PolicyMap,,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",999-licensed-resources,,999-0003,,999-0003,,template_children,1,
Harvest record for University of Iowa Digital Library: Atlases and Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2025-09-16 / harvest,draft,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,,2025-09-16,Automated retrieval,Irregular,py_oaipmh,2026-03-28 16:05:08 -0500,2026-04-15 18:02:31 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_03d-01,03d-01,,03d-01,ogm|queue:pending_harvest|harvest_due:2026-04-10,"2026-04-09 ~ needed to work with Iowa's IT and contracted developer to whitelist my IP address and open their CORS headings
2026-04-13 ~ many new atlas records: remediated Spatial Coverage and matched bboxes",2026-04-10,Due,-15,,No Review,University of Iowa Digital Library: Atlases and Maps,University of Iowa,,University of Iowa,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,03d-01,https://digital.lib.uiowa.edu/islandora/object/ui_root?sort=mods_titleInfo_title_ss%20asc&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Amaps%22,03d-01,,py_oaipmh,1,
Harvest record for Minnesota Geospatial Commons,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-16 / harvest / added 5, retired 11",draft,CKAN,https://gisdata.mn.gov/api/3/action/package_search,CKAN API,,2026-03-16,Automated retrieval,Monthly,py_mncommons_ckan,2026-03-28 16:04:24 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05a-01_ckan,05a-01,,05a-01,,,2026-04-16,Due,-9,,No Review,Minnesota Geospatial Commons,,Minnesota Department of Natural Resources|Minnesota Geospatial Information Office|Metropolitan Council of the Twin Cities|Minnesota Pollution Control Agency|Minnesota Department of Agriculture,,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05a-01,https://gisdata.mn.gov/,05a-01,,py_mncommons_ckan,1,
Harvest record for Ann Arbor Data Catalog,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,,draft,CKAN,https://ckan.a2gov.org/api/3/action/package_list,CKAN API,,,Automated retrieval,Quarterly,py_ckan,2026-04-15 18:02:32 -0500,2026-04-15 18:02:32 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_07c-02,07c-02,,07c-02,queue:pending_updates|archive_candidate,,2026-04-25,Due,0,,No Review,Ann Arbor Data Catalog,,,,Michigan--Ann Arbor|Michigan,"-83.800,42.223,-83.676,42.324","POLYGON((-83.800 42.324, -83.676 42.324, -83.676 42.223, -83.800 42.223, -83.800 42.324))","42.2735,-83.738",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,07c-02,https://www.a2gov.org/services/data-catalog/,07c-02,,py_ckan,1,
Harvest record for City of Milwaukee Open Data,,,,,,,,Series,,,,,,,,,,,,,,,,,,,,,,draft,CKAN,https://data.milwaukee.gov/api/3/action/package_list,CKAN API,,,Automated retrieval,Quarterly,py_ckan,2026-04-15 18:22:33 -0500,2026-04-15 18:22:33 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_10c-01,10c-01,,10c-01,queue:pending_harvest,,2026-04-25,Due,0,,No Review,,,,,,,,,,,,,,,py_ckan,0,
Harvest record for National Historical Geographic Information System (NHGIS),,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Irregular,template_children,2026-03-28 16:05:09 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-10,05d-10,,05d-10,queue:pending_updates,"2026-04-10 ~ sort out how the child records are organized, remove them from this website pairing",2026-04-25,Due,0,,No Review,National Historical Geographic Information System (NHGIS),IPUMS Center for Data Integration,,University of Minnesota,,"144.4,-14.8,-64.4,71.6","POLYGON((144.4 71.6, -64.4 71.6, -64.4 -14.8, 144.4 -14.8, 144.4 71.6))","28.4,40.0",b0153110-e455-4ced-9114-9b13250a7093,,05d-10,https://www.nhgis.org,05d-10,,template_children,1,
Harvest record for Humanitarian Data Exchange,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-30 / harvest / 315 new items, 9 retired",draft,CKAN,https://data.humdata.org/api/3/action/package_search,CKAN API,,2026-03-30,Automated retrieval,Monthly,py_hdx,2026-03-28 16:04:23 -0500,2026-04-15 18:01:56 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_99-1400,99-1400,,99-1400,,,2026-04-30,Scheduled,5,,No Review,Humanitarian Data Exchange,Centre for Humanitarian Data,Centre for Humanitarian Data,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,99-1400,https://data.humdata.org,99-1400,,py_hdx,1,
Scan Socrata Sites,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2026-03-30 / harvest,draft,Socrata,https://data.bloomington.in.gov/data.json,DCAT API,true,2026-03-30,Automated retrieval,Monthly,py_socrata,2026-03-28 16:04:37 -0500,2026-04-15 18:01:37 -0500,,,,,,,,,,,,,,,,Public,true,,,,py_socrata,,,01c-01,archive_candidate,,2026-04-30,Scheduled,5,,No Review,8 websites,,Indiana--Bloomington,,Indiana--Bloomington|Indiana,"-86.592,39.121,-86.471,39.221","POLYGON((-86.592 39.221, -86.471 39.221, -86.471 39.121, -86.592 39.121, -86.592 39.221))","39.171,-86.5315",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,https://data.bloomington.in.gov,01c-01,,py_socrata,8,8 websites
Scan ArcGIS Hubs,,Harvest record - temporary,,,,,,Series,Data portals,Data,,,,,,,,,,,,,,,,,,,2026-03-22 / harvest,draft,ArcGIS Hub,https://openac-alcogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-04-25,Automated retrieval,Weekly,py_arcgis_hub,2026-03-28 16:04:56 -0500,2026-04-25 17:36:04 -0500,,,,,,,,,,,,,,,,Public,true,,,,py_arcgis_hub,,,08b-42003,,,2026-05-02,Scheduled,7,,No Review,167 websites,,Pennsylvania--Allegheny County,,Pennsylvania--Allegheny County|Pennsylvania,"-80.361,40.194,-79.689,40.675","POLYGON((-80.361 40.675, -79.689 40.675, -79.689 40.194, -80.361 40.194, -80.361 40.675))","40.4345,-80.025",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,https://openac-alcogis.opendata.arcgis.com,08b-42003,,py_arcgis_hub,167,167 websites
Harvest record for Western Pennsylvania Regional Data Center Open Data,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-29 / harvest / added 365, retired 1",draft,CKAN,http://www.wprdc.org/api/3/action/package_list,CKAN API,,2026-03-31,Automated retrieval,Quarterly,py_ckan,2026-03-28 16:04:23 -0500,2026-04-15 18:02:17 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_08f-01,08f-01,,08f-01,,"CKAN script outputs requires manual edits, especially the distributions.",2026-06-30,Scheduled,66,,No Review,Western Pennsylvania Regional Data Center Open Data,,University of Pittsburgh,,Pennsylvania,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08f-01,http://www.wprdc.org,08f-01,,py_ckan,1,
Harvest record for Illinois Geospatial Data Clearinghouse,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-03-30 /  harvest /  5 added, 5 retired",draft,Custom data portal,https://clearinghouse.isgs.illinois.edu/data,HTML,,2026-03-30,Automated retrieval,Quarterly,py_isgs,2026-03-28 16:05:02 -0500,2026-04-15 18:02:22 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_02a-01,02a-01,,02a-01,,Python harvester for this script needs attention to generate all needed fields and provide more feedback.,2026-06-30,Scheduled,66,,No Review,Illinois Geospatial Data Clearinghouse,Illinois State Geological Survey|Prairie Research Institute|University of Illinois Urbana-Champaign,Illinois State Geological Survey,,Illinois,"-91.51,36.97,-87.02,42.51","POLYGON((-91.51 42.51, -87.02 42.51, -87.02 36.97, -91.51 36.97, -91.51 42.51))","39.739999999999995,-89.265",dc8c18df-7d64-4ff4-a754-d18d0891187d,,02a-01,https://clearinghouse.isgs.illinois.edu,02a-01,,py_isgs,1,
Harvest record for PASDA: The Pennsylvania Geospatial Data Clearinghouse,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2025-11-18 / harvest / 289 added, 1 retired|2026-03-30 / harvest / 32 added, 1 retired",draft,Custom data portal,https://www.pasda.psu.edu/uci/SearchResults.aspx?Keyword=+,HTML,true,2026-03-30,Automated retrieval,Quarterly,py_pasda,2026-03-28 16:05:03 -0500,2026-04-15 18:02:06 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_08a-01,08a-01,,08a-01,,,2026-06-30,Scheduled,66,,No Review,PASDA: The Pennsylvania Geospatial Data Clearinghouse,Pennsylvania State University,"Governor's Office of Administration, Office for Information Technology|Pennsylvania State University",,,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08a-01,https://www.pasda.psu.edu,08a-01,,py_pasda,1,
Harvest record for Urban Base Layers - Philadelphia,,Curated datasets from the city of Philadelphia,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2025-12-09 / harvest / 5 datasets from ArcGIS Hub,draft,ArcGIS Hub,,,,2025-12-09,Manual curation,Annual,curation_datasets,2026-04-03 07:06:53 -0500,2026-04-15 18:02:16 -0500,,,,,,,,,,,,,,,,Public,,,,,b1g_42_60000,,,b1g_42_60000,,,2026-12-09,Scheduled,228,,No Review,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for Urban Base Layers - Columbus,,Curated datasets from the city of Columbus,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2026-01-05 / acquisition / city shared geodatabase|2026-01-14 / ingest / 1 geodatabase, 6 layers",draft,,,,,2026-01-05,Mediated deposit,Annual,curation_datasets,2026-04-03 07:06:52 -0500,2026-04-15 18:02:15 -0500,,,,,,,,,,,,,,,,Public,,,,,b1g_39_18000,,,b1g_39_18000,,,2027-01-05,Scheduled,255,,No Review,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for Urban Base Layers - Baltimore,,Curated datasets from the city of Baltimore,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2026-01-23 / acquisition / City shared geodatabase|2026-02-06 / ingest / 22 records ,draft,,,,,2026-01-23,Mediated deposit,Annual,curation_datasets,2026-04-03 07:06:52 -0500,2026-04-15 18:02:15 -0500,,,,,,,,,,,,,,,,Public,,,,,b1g_24_51000,,,b1g_24_51000,,,2027-01-23,Scheduled,273,,No Review,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for ORNL LandScan Viewer,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2024-12-30 / harvest|2026-04-04 / harvest / added Global 2024,draft,Custom HTML/JS,,,,2026-04-04,Manual curation,Annual,template_children,2026-03-28 16:05:07 -0500,2026-04-15 18:02:23 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_88-0001,88-0001,,88-0001,,"2026-04-04 ~ Landscan HD and US are not described on main page. In Downloads, they are listed as ""Archived""; The Mosaic series is intended to replace them, but does not have metadata files yet. Add those next time this is reviewed.",2027-04-04,Scheduled,344,,No Review,ORNL LandScan Viewer,Oak Ridge National Laboratory,Oak Ridge National Laboratory,,World,,,,b0153110-e455-4ced-9114-9b13250a7093,,88-0001,https://landscan.ornl.gov,88-0001,,template_children,1,
Harvest record for EDGE Geodata datasets,,Curated datasets from the EDGE Geodata ArcGIS Hub,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,"2025-03-06 / download / 90 shapefiles exported, 2 failed to download|2026-04-02 / ingest / 88 geopackages ingested, 9 PDF/A documentation files attached to 73 records",draft,ArcGIS Hub,https://data-nces.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2025-03-06,Manual curation,Irregular,curation_datasets,2026-04-03 12:53:41 -0500,2026-04-15 18:02:21 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_b1g_30g-01,,,b1g_30g-01,review:2y,"2026-04-04 / b1g_Htz4Bc8Guzln and b1g_TCEo2ltd2AKo not published as datasets are larger than 500 MB; Some data dictionaries have over 255 fields, likely lost data when downloaded shapefile, could revisit",,No Schedule,,2027-03-06,Scheduled,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for HUD Geodata,,Data curation from the federal HUD ArcGIS Hub,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2026-04-04 / ingest / 11 items exported from ArcGIS Hub as GeoPackage|2025-03-06 / curation / Data Rescue Sprint evaulated items,draft,ArcGIS Hub,https://hudgis-hud.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-04-04,Manual curation,Irregular,curation_datasets,2026-04-04 11:38:32 -0500,2026-04-15 18:02:21 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_b1g_30g-02,,,b1g_30g-02,,"Curated rows identified by Data Rescue sprint; omitted any file over 500 MB by default, over 200 MB only if high priority",,No Schedule,,,No Review,,,,,,,,,,,,,,,curation_datasets,0,
Harvest record for ArcGIS Online at the University of Minnesota,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2025-08-24 / review,draft,ArcGIS Online,https://umn.maps.arcgis.com/home/search.html?restrict=false&sortField=relevance&sortOrder=desc&searchTerm=owner%3A%22University_of_Minnesota%22#content,HTML,,2025-08-24,Automated retrieval,Irregular,py_arcgis_online,2026-03-28 16:05:03 -0500,2026-04-15 18:01:44 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-07,05d-07,,05d-07,ogm|review:1y,,,No Schedule,,2026-08-24,Scheduled,ArcGIS Online at the University of Minnesota,U-Spatial,University of Minnesota,University of Minnesota,,"179.000,-75.000,-179.000,85.000","POLYGON((179.000 85.000, -179.000 85.000, -179.000 -75.000, 179.000 -75.000, 179.000 85.000))","5.0,0.0",,,05d-07,https://umn.maps.arcgis.com,05d-07,,py_arcgis_online,1,
Harvest record for Hoosier Resilience Index: Indiana,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-10-21 / harvest,draft,ArcGIS Online,,,,2021-10-21,Automated retrieval,Irregular,py_arcgis_online,2026-03-28 16:05:04 -0500,2026-04-15 18:01:56 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_01d-04,01d-04,,01d-04,review:1y,,,No Schedule,,2022-10-21,Due,Hoosier Resilience Index: Indiana,Environmental Resilience Institute,Indiana University,Indiana University,Indiana,"-88.100,37.772,-84.785,41.761","POLYGON((-88.100 41.761, -84.785 41.761, -84.785 37.772, -88.100 37.772, -88.100 41.761))","39.7665,-86.4425",b0153110-e455-4ced-9114-9b13250a7093,,01d-04,https://hri.eri.iu.edu/index.html,01d-04,,py_arcgis_online,1,
Harvest record for Michigan State University Libraries Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,HTML/JS,https://d.lib.msu.edu/oai,OAI-PMH,,2021-04-27,Automated retrieval,Irregular,py_mods,2026-03-28 16:05:08 -0500,2026-04-15 18:02:30 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_06d-01,06d-01,,06d-01,ogm|queue:pending_review,2026-04-09 ~ IIIF links seem to be broken,,No Schedule,,2026-04-25,Due,Michigan State University Libraries Maps,Michigan State University,,Michigan State University,Michigan|Africa|World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,06d-01,https://d.lib.msu.edu/maps,06d-01,,py_mods,1,
Harvest record for 16d-01 UW Digital Collections Skinner Maps,,"Harvest record

""Skinner (G. William) Map Collection"" with setSpec ""skinner"".",,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2026-03-28 / harvest / in dev site waiting approval,draft,CONTENTdm,https://cdm16786.contentdm.oclc.org/oai/oai.php,OAI-PMH,,2026-03-30,Automated retrieval,Irregular,py_oai_qdc,2026-03-26 10:47:13 -0500,2026-04-15 18:56:14 -0500,,,,,,,,,,,,,,,,Restricted,,,,,harvest_16d-01,,,16d-01,review:1y,,,No Schedule,,2027-03-30,Scheduled,,,,,,,,,,,,,,,py_oai_qdc,0,
Harvest record for Digital Collections at the University of Illinois at Urbana-Champaign Library,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,Blacklight,https://digital.library.illinois.edu/oai-pmh/idhh,OAI-PMH,,2021-04-27,Automated retrieval,Irregular,py_oaipmh,2026-03-28 16:05:08 -0500,2026-04-15 20:55:35 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_02d-01,02d-01,,02d-01,ogm|queue:pending_harvest,Historical maps set is 810d3fa0-e3fb-012f-c5b6-0019b9e633c5-a,,No Schedule,,,No Review,Map Library Digital Collections at the University of Illinois at Urbana-Champaign Library,University of Illinois Urbana-Champaign,,University of Illinois Urbana-Champaign,,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,02d-01,https://digital.library.illinois.edu,02d-01,,py_oaipmh,1,
Harvest record for Maps of New Jersey,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2022-08-17 / harvest,draft,Drupal,https://rucore.libraries.rutgers.edu/api/dpla-oai-pmh/?settype=portal&set=2Pp7Cy4Bs,OAI-PMH,,2022-08-17,Automated retrieval,Irregular,py_oaipmh,2026-03-28 16:05:09 -0500,2026-04-15 18:02:27 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_14d-01,14d-01,,14d-01,ogm|review:2y,,,No Schedule,,2024-08-17,Due,Maps of New Jersey,Rutgers University-New Brunswick,,Rutgers University-New Brunswick,New Jersey,"-75.563,38.791,-73.894,41.357","POLYGON((-75.563 41.357, -73.894 41.357, -73.894 38.791, -75.563 38.791, -75.563 41.357))","40.074,-74.7285",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,14d-01,https://collections.libraries.rutgers.edu/njmaps,14d-01,,py_oaipmh,1,
Harvest record for Northwestern University Digital Collections,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2024-02-28 / harvest,draft,NextJS,https://api.dc.library.northwestern.edu/api/v2/oai,OAI-PMH,,2024-02-28,Automated retrieval,Irregular,py_oaipmh,2026-03-28 16:05:08 -0500,2026-04-15 18:02:27 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_15d-01,15d-01,,15d-01,ogm|review:1y,,,No Schedule,,2025-02-28,Due,Northwestern University Digital Collections,Northwestern University,,Northwestern University,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,15d-01,https://dc.library.northwestern.edu,15d-01,,py_oaipmh,1,
