Code,Title,Identifier,Harvest Run,Harvest Message,Total Records Found,New Records,Unpublished Records
10b-55109,Harvest record for St. Croix County GIS Download,10b-55109,success,[ArcGIS] Fetched 10b-55109 — St. Croix County GIS Download,5,0,0
11b-39151,Harvest record for Stark County GIS Data,11b-39151,success,[ArcGIS] Fetched 11b-39151 — Stark County GIS Data,112,0,1
06a-01,Harvest record for State of Michigan Open Data Portal,06a-01,success,[ArcGIS] Fetched 06a-01 — State of Michigan Open Data Portal,732,7,0
16a-01,Harvest record for State of Washington Geospatial Open Data Portal,16a-01,success,[ArcGIS] Fetched 16a-01 — State of Washington Geospatial Open Data Portal,1493,0,3
05b-27145,Harvest record for Stearns County GIS Data for Download,05b-27145,success,[ArcGIS] Fetched 05b-27145 — Stearns County GIS Data for Download,8,0,0
05b-27149,Harvest record for Stevens County Geospatial Hub,05b-27149,success,[ArcGIS] Fetched 05b-27149 — Stevens County Geospatial Hub,30,0,0
11b-39153,Harvest record for Summit County GIS Data,11b-39153,success,[ArcGIS] Fetched 11b-39153 — Summit County GIS Data,140,0,0
16c-03,Harvest record for Tacoma Open Data,16c-03,success,[ArcGIS] Fetched 16c-03 — Tacoma Open Data,226,0,16
05f-01,Harvest record for Three Rivers Park District Open Data,05f-01,success,[ArcGIS] Fetched 05f-01 — Three Rivers Park District Open Data,137,0,0
16b-53067,Harvest record for Thurston GeoData Center,16b-53067,success,[ArcGIS] Fetched 16b-53067 — Thurston GeoData Center,77,0,0
05b-27155,Harvest record for Traverse County Open GIS Data,05b-27155,success,[ArcGIS] Fetched 05b-27155 — Traverse County Open GIS Data,1,0,0
07d-02,Harvest record for UM Matthaei Botanical Gardens and Nichols Arboretum,07d-02,success,[ArcGIS] Fetched 07d-02 — UM Matthaei Botanical Gardens and Nichols Arboretum,157,0,0
12d-03,Harvest record for University of Chicago Library GIS Data Hub,12d-03,success,[ArcGIS] Fetched 12d-03 — University of Chicago Library GIS Data Hub,34,0,0
1000-0003,Harvest record for U.S. Fish and Wildlife Service Open Data,1000-0003,success,[ArcGIS] Fetched 1000-0003 — U.S. Fish and Wildlife Service Open Data,3251,20,16
16b-53071,Harvest record for Walla Walla County GIS,16b-53071,success,[ArcGIS] Fetched 16b-53071 — Walla Walla County GIS,45,0,0
10b-55131,Harvest record for Washington County GIS Download,10b-55131,success,[ArcGIS] Fetched 10b-55131 — Washington County GIS Download,138,0,0
05b-27163,Harvest record for Washington County MN Geospatial Maps and Data,05b-27163,success,[ArcGIS] Fetched 05b-27163 — Washington County MN Geospatial Maps and Data,26,0,0
07b-26161,"Harvest record for Washtenaw County, Michigan Open Data",07b-26161,success,"[ArcGIS] Fetched 07b-26161 — Washtenaw County, Michigan Open Data",39,0,0
10b-55133,Harvest record for Waukesha County GIS Download,10b-55133,success,[ArcGIS] Fetched 10b-55133 — Waukesha County GIS Download,205,0,12
10b-55135,Harvest record for Waupaca County GIS Download,10b-55135,success,[ArcGIS] Fetched 10b-55135 — Waupaca County GIS Download,63,0,0
10b-55137,Harvest record for Waushara County GIS Download,10b-55137,success,[ArcGIS] Fetched 10b-55137 — Waushara County GIS Download,13,0,0
05b-27167,"Harvest record for Wilkin County, Minnesota Open Data",05b-27167,success,"[ArcGIS] Fetched 05b-27167 — Wilkin County, Minnesota Open Data",16,0,0
10c-04,Harvest record for Wisconsin Rapids Online Map Portal,10c-04,success,[ArcGIS] Fetched 10c-04 — Wisconsin Rapids Online Map Portal,32,0,0
10b-55141,Harvest record for Wood County Open Data Portal,10b-55141,error,[ArcGIS] Error fetching 10b-55141: 404 Client Error: Not Found for url: https://opendata.woodcogis.com/api/feed/dcat-us/1.1.json,0,0,0
16b-53077,"Harvest record for Yakima County, WA - Open Data",16b-53077,success,"[ArcGIS] Fetched 16b-53077 — Yakima County, WA - Open Data",24,0,0
05b-27173,Harvest record for Yellow Medicine County Hub,05b-27173,success,[ArcGIS] Fetched 05b-27173 — Yellow Medicine County Hub,9,0,0
08b-42133,"Harvest record for York County, PA GIS Open Data Portal",08b-42133,success,"[ArcGIS] Fetched 08b-42133 — York County, PA GIS Open Data Portal",86,0,0
TOTAL,,,success: 163; error: 6,,31966,87,95
