Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
Isanti County Geospatial Hub,,Minnesota--Isanti County,County government records,Minnesota--Isanti County|Minnesota,"-93.514,45.412,-93.020,45.734",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27059,https://opendata-isanticounty.hub.arcgis.com/,05b-27059
Island County Open Data Portal,,Washington (State)--Island County,County government records,Washington (State)--Island County|Washington (State),"-122.860,47.830,-122.330,48.420",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53029,https://data-islandcountygis.opendata.arcgis.com,16b-53029
Jefferson County Washington Open Data Site,,Washington (State)--Jefferson County,County government records,Washington (State)--Jefferson County|Washington (State),"-124.720,47.520,-122.600,48.370",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53031,https://gisdata-jeffcowa.opendata.arcgis.com,16b-53031
Kankakee County GIS,,Illinois--Kankakee County,County government records,Illinois--Kankakee County|Illinois,"-88.252,40.995,-87.526,41.298",ba5cc745-21c5-4ae9-954b-72dd8db6815a,02b-17091,https://hub.k3gis.com,02b-17091
"Kenosha County, WI GIS Open Data Portal",,Wisconsin--Kenosha County,County government records,Wisconsin--Kenosha County|Wisconsin,"-87.997,42.539,-87.807,42.639",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55059,https://dataportal.kenoshacounty.org,10b-55059
King County GIS Open Data,,Washington (State)--King County,County government records,Washington (State)--King County|Washington (State),"-122.540,47.080,-121.070,47.780",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53033,https://gis-kingcounty.opendata.arcgis.com,16b-53033
Kittitas County Open Data Portal,,Washington (State)--Kittitas County,County government records,Washington (State)--Kittitas County|Washington (State),"-121.470,46.740,-119.930,47.600",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53037,https://data-kitcogis.opendata.arcgis.com,16b-53037
Lake County GIS Hub,,Ohio--Lake County,County government records,Ohio--Lake County|Ohio,"-81.489,41.570,-81.002,41.849",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39085,https://gis-lakeohgis.opendata.arcgis.com/,11b-39085
Lake County Illinois Open Data Portal,,Illinois--Lake County,County government records,Illinois--Lake County|Illinois,"-88.200,42.152,-87.761,42.496",ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17097,https://data-lakecountyil.opendata.arcgis.com,12b-17097
"Land Records Data Portal of Columbia County, WI",,Wisconsin--Columbia County,County government records,Wisconsin--Columbia County|Wisconsin,"-89.819,43.603,-89.739,43.671",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55021,https://opendata-cclid.opendata.arcgis.com,10b-55021
Lincoln Open Data and Performance Management,,Nebraska--Lincoln,Municipal government records,Nebraska--Lincoln|Nebraska,"-96.804,40.694,-96.577,40.900",ba5cc745-21c5-4ae9-954b-72dd8db6815a,13c-01,https://data2-lincolnne.opendata.arcgis.com,13c-01
