Title,Creator,Publisher,Provider,Spatial Coverage,Bounding Box,Geometry,Centroid,Member Of,Is Part Of,ID,Identifier,Code
PASDA: The Pennsylvania Geospatial Data Clearinghouse,Pennsylvania State University,"Governor's Office of Administration, Office for Information Technology|Pennsylvania State University",,,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08a-01,https://www.pasda.psu.edu,08a-01
Pennsylvania Department of Conservation and Natural Resources Open Data Portal,Pennsylvania Department of Conservation and Natural Resources,Pennsylvania,,Pennsylvania,"-80.521,39.720,-74.690,42.515","POLYGON((-80.521 42.515, -74.690 42.515, -74.690 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.6055",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08a-02,https://newdata-dcnr.opendata.arcgis.com,08a-02
Pennsylvania Department of Environmental Protection,Pennsylvania Department of Environmental Protection,Pennsylvania,,Pennsylvania,"-80.626,39.720,-74.690,42.332","POLYGON((-80.626 42.332, -74.690 42.332, -74.690 39.720, -80.626 39.720, -80.626 42.332))","41.025999999999996,-77.658",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08a-03,https://newdata-padep-1.opendata.arcgis.com,08a-03
Peoria County GIS Open Data Portal,,Illinois--Peoria County,,Illinois--Peoria County|Illinois,"-89.989,40.513,-89.448,40.975","POLYGON((-89.989 40.975, -89.448 40.975, -89.448 40.513, -89.989 40.513, -89.989 40.975))","40.744,-89.7185",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,12b-17143,https://data-peoriacountygis.opendata.arcgis.com,12b-17143
PHLmaps,"City of Philadelphia, Pennsylvania",Pennsylvania--Philadelphia,,Pennsylvania--Philadelphia|Pennsylvania,"-75.280,39.867,-74.956,40.138","POLYGON((-75.280 40.138, -74.956 40.138, -74.956 39.867, -75.280 39.867, -75.280 40.138))","40.0025,-75.118",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08c-01-2,http://data-phl.opendata.arcgis.com,08c-01-2
"Photogrammar: The FSA-OWI Photographic Collection, 1935-1944",American Panorama,University of Richmond,,United States,"-125.102,23.998,-66.134,50.102","POLYGON((-125.102 50.102, -66.134 50.102, -66.134 23.998, -125.102 23.998, -125.102 50.102))","37.05,-95.618",b0153110-e455-4ced-9114-9b13250a7093,,e940e47d-fe2a-4cff-a471-40b203a0c714,http://photogrammar.yale.edu/,w00_01
Pickaway County GIS Open Data,,Ohio--Pickaway County,,Ohio--Pickaway County|Ohio,"-83.267,39.468,-82.732,39.812","POLYGON((-83.267 39.812, -82.732 39.812, -82.732 39.468, -83.267 39.468, -83.267 39.812))","39.64,-82.9995",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,11b-39129,https://pickawayopendata-pickaway-gis.opendata.arcgis.com/,11b-39129
Pierce County GIS Open Data Portal,,Wisconsin--Pierce County,,Wisconsin--Pierce County|Wisconsin,"-92.650,44.830,-92.580,44.902","POLYGON((-92.650 44.902, -92.580 44.902, -92.580 44.830, -92.650 44.830, -92.650 44.902))","44.866,-92.61500000000001",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55093,https://data-piercecounty-wi.hub.arcgis.com,10b-55093
Pierce County Open GeoSpatial Data Portal,,Washington (State)--Pierce County,,Washington (State)--Pierce County|Washington (State),"-122.850,46.730,-121.370,47.400","POLYGON((-121.95 47.14, -121.9 47.16, -121.84 47.14, -121.78 47.17, -121.72 47.15, -121.63 47.15, -121.58 47.12, -121.51 47.12, -121.44 47.08, -121.38 47.09, -121.37 47.06, -121.4 47.03, -121.41 47, -121.45 46.98, -121.46 46.92, -121.5 46.91, -121.52 46.87, -121.5 46.86, -121.44 46.79, -121.76 46.78, -121.84 46.73, -121.95 46.76, -122.04 46.74, -122.18 46.76, -122.24 46.78, -122.27 46.77, -122.31 46.79, -122.3 46.83, -122.32 46.83, -122.33 46.84, -122.41 46.84, -122.49 46.87, -122.49 46.91, -122.56 46.94, -122.56 46.97, -122.64 46.98, -122.63 47, -122.66 47, -122.7 47.06, -122.7 47.12, -122.76 47.14, -122.82 47.19, -122.85 47.27, -122.81 47.32, -122.8 47.4, -122.54 47.4, -122.53 47.37, -122.54 47.35, -122.52 47.32, -122.47 47.32, -121.95 47.14))","47.065,-122.11",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,16b-53053,https://gisdata-piercecowa.opendata.arcgis.com,16b-53053
Pipestone County Land Records Hub,,Minnesota--Pipestone County,,Minnesota--Pipestone County|Minnesota,"-96.453,43.849,-96.064,44.197","POLYGON((-96.453405 44.197061, -96.063778 44.197061, -96.063778 43.849003, -96.453405 43.849003, -96.453405 44.197061))","44.022999999999996,-96.2585",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27117,https://landrecords-pipestone.hub.arcgis.com,05b-27117
Pittsburgh Open Data,,Pennsylvania--Pittsburgh,,Pennsylvania--Pittsburgh|Pennsylvania,"-80.100,40.350,-79.840,40.500","POLYGON((-80.100 40.500, -79.840 40.500, -79.840 40.350, -80.100 40.350, -80.100 40.500))","40.425,-79.97",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08c-02,https://pghgishub-pittsburghpa.opendata.arcgis.com,08c-02
"PLSS Records [Hoover Hills region, Indiana]",Office of the Monroe County Surveyor|Hoosier Hills Chapter of ISPLS,,,Indiana|Indiana--Monroe County|Indiana--Morgan County|Indiana--Owen County|Indiana--Greene County|Indiana--Lawrence County|Indiana--Brown County|Indiana--Jackson County|Indiana--Jennings County,"-87.281,38.493,-85.507,39.754","POLYGON((-87.281 39.754, -85.507 39.754, -85.507 38.493, -87.281 38.493, -87.281 39.754))","39.1235,-86.394",77f-0001,,13960-t8wb2dg4f,https://inmap-hub.maps.arcgis.com/apps/webappviewer/index.html?id=f52808a8aa064f5ab6e7d4c11501d533,w00_01
Polar Geospatial Center,University of Minnesota,,University of Minnesota,Antarctica|Greenland|Arctic,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,05d-06,https://maps.apps.pgc.umn.edu/,05d-06
PolicyMap,PolicyMap,PolicyMap,,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",999-licensed-resources,,999-0003,,999-0003
Polk County GIS Download,,,,Wisconsin--Polk County|Wisconsin,"-92.889,45.209,-92.154,45.729","POLYGON((-92.889 45.729, -92.154 45.729, -92.154 45.209, -92.889 45.209, -92.889 45.729))","45.469,-92.5215",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55095,https://www.polkcountywi.gov/government/divisions_and_departments/environmental_services_division/division_of_gis/gis_data_portal.php,w00_01
Polk County GIS Open Data,,Minnesota--Polk County,,Minnesota--Polk County|Minnesota,"-97.148,47.499,-95.553,48.174","POLYGON((-97.148 48.174, -95.553 48.174, -95.553 47.499, -97.148 47.499, -97.148 48.174))","47.8365,-96.3505",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27119,https://hub-pcg.hub.arcgis.com,05b-27119
Pope County Open Data,,Minnesota--Pope County,,Minnesota--Pope County|Minnesota,"-95.759,45.412,-95.131,45.760","POLYGON((-95.759 45.760, -95.131 45.760, -95.131 45.412, -95.759 45.412, -95.759 45.760))","45.586,-95.445",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27121,https://hub-popecounty.hub.arcgis.com,05b-27121
Portage County GIS Download,,,,Wisconsin--Portage County|Wisconsin,"-89.845,44.243,-89.223,44.686","POLYGON((-89.845 44.686, -89.223 44.686, -89.223 44.243, -89.845 44.243, -89.845 44.686))","44.4645,-89.53399999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55097,https://www.co.portage.wi.gov/375/Land-Information-GIS,w00_01
PortlandMaps Open Data,,Oregon--Portland,,Oregon--Portland|Oregon,"-122.800,45.430,-122.470,45.650","POLYGON((-122.800 45.650, -122.470 45.650, -122.470 45.430, -122.800 45.430, -122.800 45.650))","45.54,-122.63499999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,17c-06,https://gis-pdx.opendata.arcgis.com,17c-06
Pottawattamie County Open Data,,Iowa--Pottawattamie County,,Iowa--Pottawattamie County|Iowa,"-96.020,41.159,-95.155,41.507","POLYGON((-96.020 41.507, -95.155 41.507, -95.155 41.159, -96.020 41.159, -96.020 41.507))","41.333,-95.5875",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,03b-19155,https://open-data-pottcounty.hub.arcgis.com/,03b-19155
Prince George's County GIS Open Data,Prince George's County Planning Department,Maryland National Capital Parks and Planning Commission,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131","POLYGON((-77.079 39.131, -76.670 39.131, -76.670 38.535, -77.079 38.535, -77.079 39.131))","38.833,-76.8745",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,04f-03,http://gisdata.pgplanning.org/opendata,w00_01
Prince George's County Open Data Portal,,Maryland--Prince George's County,,Maryland--Prince George's County|Maryland,"-77.079,38.535,-76.670,39.131","POLYGON((-77.079 39.131, -76.670 39.131, -76.670 38.535, -77.079 38.535, -77.079 39.131))","38.833,-76.8745",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,04b-24033,https://data.princegeorgescountymd.gov,04b-24033
Princeton University Libraries Digital Maps & Geospatial Data,Princeton University Libraries,,Princeton,,,,,,,20d-0002,https://maps.princeton.edu,20d-0002
"Public FTP for Mahoning County, Ohio",,Mahoning County GIS Dept.,,Ohio--Mahoning County|Ohio,"-81.087,40.900,-80.519,41.134","POLYGON((-81.087 41.134, -80.519 41.134, -80.519 40.900, -81.087 40.900, -81.087 41.134))","41.016999999999996,-80.803",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,11b-39099,https://gisapp.mahoningcountyoh.gov/Public_FTP_Folder,w00_01
Puget Sound Regional Council Data Portal,,Washington (State)--Puget Sound Region,,Washington (State)--Puget Sound Region|Washington (State),"-123.200,46.800,-121.300,48.300","POLYGON((-123.20 48.30, -121.30 48.30, -121.30 46.80, -123.20 46.80, -123.20 48.30))","47.55,-122.25",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,16f-01,https://psrc-psregcncl.hub.arcgis.com,16f-01
"Purdue Campus Maps: West Lafayette, Indiana, 1890-2014",,,Purdue University,Indiana--West Lafayette|Indiana,"-86.936,40.402,-86.902,40.442","POLYGON((-86.936 40.442, -86.902 40.442, -86.902 40.402, -86.936 40.402, -86.936 40.442))","40.422,-86.91900000000001",64bd8c4c-8e60-4956-b43d-bdc3f93db488|dc8c18df-7d64-4ff4-a754-d18d0891187d,,09d-02,https://collections.lib.purdue.edu/campus,09d-02
Putnam County GIS Data,,Ohio--Putnam County,,Ohio--Putnam County|Ohio,"-84.399,40.859,-83.880,41.168","POLYGON((-84.399 41.168, -83.880 41.168, -83.880 40.859, -84.399 40.859, -84.399 41.168))","41.0135,-84.1395",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,11b-39137,https://home.putnamcountygis.com/,11b-39137
Racine County GIS Download,,Wisconsin--Racine County,,Wisconsin--Racine County|Wisconsin,"-88.308,42.611,-87.770,42.844","POLYGON((-88.308 42.844, -87.770 42.844, -87.770 42.611, -88.308 42.611, -88.308 42.844))","42.7275,-88.039",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55101,http://data.racinecounty.opendata.arcgis.com,10b-55101
Ramsey County Open Data,,Minnesota--Ramsey County,,Minnesota--Ramsey County|Minnesota,"-93.228,44.887,-92.984,45.125","POLYGON((-93.228 45.125, -92.984 45.125, -92.984 44.887, -93.228 44.887, -93.228 45.125))","45.006,-93.106",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27123,https://data-ramseygis.opendata.arcgis.com,05b-27123
Redistricting Data Hub,Redistricting Data Hub,Redistricting Data Hub,,United States,"144.4,-14.8,-64.4,71.6","POLYGON((144.4 71.6, -64.4 71.6, -64.4 -14.8, 144.4 -14.8, 144.4 71.6))","28.4,40.0",,,7c1c20e3-9a8a-4902-b7de-9062ea2f50c7,https://redistrictingdatahub.org,w00_01
Renville County Open GIS Data,,Minnesota--Renville County,,Minnesota--Renville County|Minnesota,"-95.484,44.456,-94.498,44.892","POLYGON((-95.484 44.892, -94.498 44.892, -94.498 44.456, -95.484 44.456, -95.484 44.892))","44.67400000000001,-94.991",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27129,https://hub-renvilleco.hub.arcgis.com,05b-27129
RLIS Discovery,,Oregon--Portland,,Oregon--Portland|Oregon,"-122.930,45.430,-121.820,45.730","POLYGON((-122.48 45.46, -122.64 45.46, -122.66 45.46, -122.65 45.43, -122.74 45.43, -122.74 45.52, -122.76 45.52, -122.78 45.55, -122.87 45.59, -122.89 45.62, -122.91 45.62, -122.91 45.64, -122.93 45.64, -122.93 45.72, -122.76 45.73, -122.77 45.68, -122.76 45.66, -122.68 45.62, -122.44 45.56, -122.38 45.58, -122.3 45.54, -122.1 45.58, -121.92 45.65, -121.9 45.56, -121.92 45.55, -121.82 45.46, -122.48 45.46))","45.58,-122.375",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,17c-01,https://rlisdiscovery.oregonmetro.gov,17c-01
Saint Louis County GIS & Mapping,,Minnesota--St. Louis County,,Minnesota--St. Louis County|Minnesota,"-93.097,46.649,-91.789,48.632","POLYGON((-93.097 48.632, -91.789 48.632, -91.789 46.649, -93.097 46.649, -93.097 48.632))","47.6405,-92.443",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27137,https://open-data-slcgis.hub.arcgis.com,05b-27137
"Sanborn Maps: Pennsylvania, 1884-1938",Pennsylvania State University,,Pennsylvania State University,Pennsylvania,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,08d-02,https://libraries.psu.edu/about/collections/sanborn-fire-insurance-maps,08d-02
Sarpy County GIS Portal,,Nebraska--Sarpy County,,Nebraska--Sarpy County|Nebraska,"-96.339,40.996,-95.842,41.191","POLYGON((-96.339 41.191, -95.842 41.191, -95.842 40.996, -96.339 40.996, -96.339 41.191))","41.093500000000006,-96.09049999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,13b-31153,https://data2-sarpy.opendata.arcgis.com,13b-31153
SARS-ANI,The World Organisation for Animal Health,,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,99-1700,https://github.com/amel-github/sars-ani,w00_01
Sauk County GIS Download,,Wisconsin--Sauk County,,Wisconsin--Sauk County|Wisconsin,"-90.312,43.145,-89.599,43.642","POLYGON((-90.312 43.642, -89.599 43.642, -89.599 43.145, -90.312 43.145, -90.312 43.642))","43.3935,-89.9555",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55111,https://data-saukgis.opendata.arcgis.com,10b-55111
