ID,Creator,Creator ID,Resource Type,Temporal Coverage,Date Issued,Date Range,Spatial Coverage,Bounding Box,GeoNames,Date Accessioned,Tags
1dc7fc26-23cd-49d1-b1d0-0ef03428ec32,,,,,1848,1848-1848,United States|Gulf of Mexico,"-98.000,7.000,-68.000,47.000",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05
d33c5267-3839-41fb-8a90-79f5081ddebf,"British Columbia. Department of Lands and Works|Cookson, Cecil H.",fst00749486|null,,1899,,1899-1899,Canada--British Columbia,"-141.000,48.000,-111.000,61.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
bde8eabc-e807-457d-8501-3e7274088033,United States. Surveyor General of New Mexico,fst00734764,,1856,,1856-1856,New Mexico,"-114.550,31.000,-101.000,39.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
9ccf5f4b-1855-4359-80f3-bb09b2fe8908,[creator not identified],,,1847,,1847-1847,Michigan--Sault Sainte Marie|Michigan,"-84.475,46.478,-84.277,46.530",,2019-01-16,bbox-verified_2023-02-27|2022-creator-sprint|bboxSprintJune2023|sprint-2021-05
c7a35f2a-2d47-4f6d-9ace-f584cf1b845d,"Magra, Perkins.",,,1938,,1938-1938,Michigan--Fort Michilimackinac Historical Marker,"-84.629,45.846,-84.607,45.859",,2019-01-16,bbox-verified_2023-02-27|2022-creator-sprint|FixedBBoxes|bboxSprintJune2023|sprint-2021-05
7200ab5d-6145-49d1-9ac7-081e75ccdc75,[creator not identified],null,,1847,,1847-1847,Michigan,"-90.42,41.68,-82.4,47.5",,2019-01-16,2022-creator-sprint|sprint-2021-05
80282f8e-9fcf-45dc-80ae-69746b1fc561,"Chapman, Leander.",null,,1855,,1855-1855,Michigan,"-90.4,41.5,-82.28,47.62",,2019-01-16,2022-creator-sprint|sprint-2021-05
3bed456e-85c6-49bd-8573-b8846eb47623,"Chapman, Leander.",null,,1856,,1856-1856,Michigan,"-90.4,41.5,-82.28,47.62",,2019-01-16,2022-creator-sprint|sprint-2021-05
cb6ff51c-c78a-4ce2-b09d-734915eebdbc,"Chapman, Leander.",null,,1853,,1853-1853,Michigan,"-90.98,41.5,-82.28,47.52",,2019-01-16,2022-creator-sprint|sprint-2021-05
0c9492fb-a0dc-49e8-a597-718cf8143aa1,,,,,1859?,1859-1859,Arctic Regions,"-179.99,45.08,179.99,89.99",http://sws.geonames.org/10941926,2021-04-16,sprint-2021-05|202212bbox|-180TO180|sprint-2021-05
f64697e7-2753-48c5-a7f7-9715e4561f9a,"Geological Survey (U.S.)|Marshall, R. B. (Robert Bradford), 1867-1949|United States. Army. Corps of Engineers",fst00547115|fst01720717|fst00534195,,1919,,1919-1919,South Carolina--James Island|South Carolina,"-80.000,32.630,-79.880,32.750",,2019-01-16,2022-creator-sprint|sprint-2021-05
aafc1bad-806d-431d-8148-4e3368354848,"Geological Survey (U.S.)|Marshall, R. B. (Robert Bradford), 1867-1949|United States. Army. Corps of Engineers",fst00547115|fst01720717|fst00534195,,1919,,1919-1919,South Carolina--Charleston|South Carolina,"-80.000,32.750,-79.880,32.880",,2019-01-16,2022-creator-sprint|sprint-2021-05
4c5f9a3f-4cc6-453a-b195-71fa1736e0c0,,,,,1900,1900-1900,Southern Africa|Africa,"16.48,-34.86,32.95,-22.15",http://sws.geonames.org/9406051,2021-04-16,202212bbox|sprint-2021-05
9b9603a7-e0b0-454a-b73d-4861201d72d4,"Graham, J. D. (James Duncan), 1799-1865|Mayer, J. R. (John R.)|United States. Army. Corps of Topographical Engineers",fst00245874|fst02013868|fst00531525,,1856,1857,1856-1856,Michigan--Saint Joseph River|Michigan,"-86.505,42.096,-86.459,42.129",,2019-01-16,bbox-verified_2023-02-27|sprint-mar2020|2022-creator-sprint|bboxSprintJune2023|sprint-2021-05
e610480a-f444-4a58-a772-95967ffc1e78,"Beck & Pauli, lithographer.|Stoner, J. J.",null|fst02013903,,1880,,1880-1880,Michigan--Montcalm County|Michigan,"-85.09,43.29,-85.07,43.3",,2019-01-16,2022-creator-sprint|sprint-2021-05
1e554619-9b47-4a50-9d87-745e82fca7d7,"Dinsmore, A. F.|United States. General Land Office",null|fst00549575,,1893,,1893-1893,Florida,"-87.500,24.500,-80.000,31.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
3220d22e-c076-4da8-bed1-947cbde0d577,"Strum, G. P. (Gustave P.)|United States. General Land Office",fst02013904|fst00549575,,1885,,1885-1885,Iowa,"-97.000,40.500,-90.000,43.500",,2019-01-16,2022-creator-sprint|sprint-2021-05
563c29dd-83c3-4194-8800-3e5fea5628bc,"Dinsmore, A. F.|Mayo, Geo. U. (George U.)|Stockslager, S.M.|United States. General Land Office",null|null|null|fst00549575,,1888,,1888-1888,Michigan,"-90.4,41.5,-82.07,48.82",,2019-01-16,2022-creator-sprint|sprint-2021-05
54c9bbe7-b2fa-4aed-9de7-2cd872157a9a,"Roser, C.|United States. General Land Office|Williamson, James Alexander, 1829-1902",null|fst00549575|fst01961405,,1878,,1878-1878,Michigan,"-90.47,41.5,-82.28,48.48",,2019-01-16,2022-creator-sprint|sprint-2021-05
