ID,Code,Title,Description,Resource Class,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Access Rights,Suppressed Record,Identifier,Tags,Admin Note
harvest_16a-01,16a-01,Harvest record for State of Washington Geospatial Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://geo.wa.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16a-01,,
harvest_16b-53009,16b-53009,Harvest record for Clallam County GIS Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://clallam-county-portal-clallam.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53009,,
harvest_16b-53011,16b-53011,Harvest record for Clark County Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://hub-clarkcountywa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53011,,
harvest_16b-53017,16b-53017,Harvest record for Douglas County Mapping and Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://explore-douglas-county-data-douglaswa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53017,,
harvest_16b-53025,16b-53025,Harvest record for Grant County Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-grantcountywa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53025,,
harvest_16b-53029,16b-53029,Harvest record for Island County Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-islandcountygis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53029,,
harvest_16b-53031,16b-53031,Harvest record for Jefferson County Washington Open Data Site,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdata-jeffcowa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53031,,
harvest_16b-53033,16b-53033,Harvest record for King County GIS Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gis-kingcounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53033,,
harvest_16b-53035,16b-53035,Harvest record for Open Data Kitsap County GIS,Harvest record - temporary,Series,draft,ArcGIS Hub,https://kitsap-od-kitcowa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53035,,
harvest_16b-53037,16b-53037,Harvest record for Kittitas County Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-kitcogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53037,,
harvest_16b-53053,16b-53053,Harvest record for Pierce County Open GeoSpatial Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdata-piercecowa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53053,,
harvest_16b-53061,16b-53061,Harvest record for Snohomish County Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://snohomish-county-open-data-portal-snoco-gis.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53061,,
harvest_16b-53063,16b-53063,Harvest record for Spokane County GIS Data Catalog,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdatacatalog-spokanecounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53063,,
harvest_16b-53067,16b-53067,Harvest record for Thurston GeoData Center,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdata-thurston.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53067,,
harvest_16b-53071,16b-53071,Harvest record for Walla Walla County GIS,Harvest record - temporary,Series,draft,ArcGIS Hub,https://wallawallacountygis-wwcgis.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53071,,
harvest_16b-53077,16b-53077,"Harvest record for Yakima County, WA - Open Data",Harvest record - temporary,Series,draft,ArcGIS Hub,https://gis-yakimacounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-53077,,
harvest_16b-55005,16b-55005,Harvest record for Benton County Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdata-bentonco.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16b-55005,,
harvest_16c-01,16c-01,Harvest record for Seattle GeoData,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-seattlecitygis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16c-01,,
harvest_16c-03,16c-03,Harvest record for Tacoma Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data.tacoma.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16c-03,,
harvest_16c-04,16c-04,Harvest record for City of Bellevue Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data.bellevuewa.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16c-04,,
harvest_16c-05,16c-05,Harvest record for City of Vancouver Open Data Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://city-of-vancouver-wa-geo-hub-cityofvancouver.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16c-05,,
harvest_16f-01,16f-01,Harvest record for Puget Sound Regional Council Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://psrc-psregcncl.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,16f-01,,
harvest_17a-01,17a-01,Harvest record for Oregon GEOHub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://geohub.oregon.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17a-01,,
harvest_17c-01,17c-01,Harvest record for RLIS Discovery,Harvest record - temporary,Series,draft,ArcGIS Hub,https://rlisdiscovery.oregonmetro.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17c-01,,
harvest_17c-02,17c-02,Harvest record for City of Eugene Mapping Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://mapping.eugene-or.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17c-02,,
harvest_17c-03,17c-03,Harvest record for Data Salem,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data.cityofsalem.net/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17c-03,,
harvest_17c-04,17c-04,Harvest record for Bend Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data.bendoregon.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17c-04,,
harvest_17c-05,17c-05,Harvest record for City of Corvallis GIS Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gis-corvallisoregon.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17c-05,,
harvest_17c-06,17c-06,Harvest record for PortlandMaps Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gis-pdx.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,17c-06,,
harvest_8856ec9a-47ac-4c79-bfba-643e97c0b62d,8856ec9a-47ac-4c79-bfba-643e97c0b62d,Harvest record for Center for Rural Pennsylvania Data Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://center-for-rural-pennsylvania-data-hub-ruralpa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,8856ec9a-47ac-4c79-bfba-643e97c0b62d,,
harvest_99-1800,99-1800,Harvest record for NAIP GeoHub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://naip-usdaonline.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,99-1800,no children,"Hub site is working and the harvest script doesn't return an error for this endpoint, but API feed is blank. Published and marked is harvested = true for now. Maybe they will have records available later? Check Quarterly? -Cleo, Feb 2026"
